type,year,country,series,value,id,image,feature,volume
RE,2006,San Marino,SMR-01,0.5,RE2006SMR-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_50cent.jpg,,
RE,2017,San Marino,SMR-02,0.5,RE2017SMR-A-RE2-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_50cent_2017.jpg,,
RE,2006,San Marino,SMR-01,0.2,RE2006SMR-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_20cent.jpg,,
RE,2017,San Marino,SMR-02,0.2,RE2017SMR-A-RE2-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_20cent_2017.jpg,,
RE,2006,San Marino,SMR-01,0.1,RE2006SMR-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_10cent.jpg,,
RE,2017,San Marino,SMR-02,0.1,RE2017SMR-A-RE2-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_10cent_2017.jpg,,
RE,2006,San Marino,SMR-01,0.05,RE2006SMR-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_5cent.jpg,,
RE,2017,San Marino,SMR-02,0.05,RE2017SMR-A-RE2-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_5cent_2017.jpg,,
RE,2006,San Marino,SMR-01,0.02,RE2006SMR-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_2cent.jpg,,
RE,2017,San Marino,SMR-02,0.02,RE2017SMR-A-RE2-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_2cent_2017.jpg,,
RE,2006,San Marino,SMR-01,0.01,RE2006SMR-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_1cent.jpg,,
RE,2017,San Marino,SMR-02,0.01,RE2017SMR-A-RE2-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_1cent_2017.jpg,,
RE,2009,Slovakia,SVK-01,2.0,RE2009SVK-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_2Euro.jpg,,
RE,2009,Slovakia,SVK-01,1.0,RE2009SVK-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_1Euro.jpg,,
RE,2009,Slovakia,SVK-01,0.5,RE2009SVK-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_50cent.jpg,,
RE,2009,Slovakia,SVK-01,0.2,RE2009SVK-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_20cent.jpg,,
RE,2009,Slovakia,SVK-01,0.1,RE2009SVK-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_10cent.jpg,,
RE,2009,Slovakia,SVK-01,0.05,RE2009SVK-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_5cent.jpg,,
RE,2009,Slovakia,SVK-01,0.02,RE2009SVK-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_2cent.jpg,,
RE,2009,Slovakia,SVK-01,0.01,RE2009SVK-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/sk/Slovakia_1cent.jpg,,
RE,2007,Slovenia,SVN-01,2.0,RE2007SVN-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_2Euro.jpg,,
RE,2007,Slovenia,SVN-01,1.0,RE2007SVN-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_1Euro.jpg,,
RE,2007,Slovenia,SVN-01,0.5,RE2007SVN-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_50cent.jpg,,
RE,2007,Slovenia,SVN-01,0.2,RE2007SVN-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_20cent.jpg,,
RE,2007,Slovenia,SVN-01,0.1,RE2007SVN-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_10cent.jpg,,
RE,2007,Slovenia,SVN-01,0.05,RE2007SVN-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_5cent.jpg,,
RE,2007,Slovenia,SVN-01,0.02,RE2007SVN-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_2cent.jpg,,
RE,2007,Slovenia,SVN-01,0.01,RE2007SVN-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/sl/Slovenia_1cent.jpg,,
RE,1999,Spain,ESP-01,2.0,RE1999ESP-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_2Euro_2003.jpg,,
RE,2014,Spain,ESP-02,2.0,RE2014ESP-A-RE2-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_2euro_2014.jpg,,
RE,2015,Spain,ESP-03,2.0,RE2015ESP-A-RE3-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_2euro_2015.jpg,,
RE,1999,Spain,ESP-01,1.0,RE1999ESP-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_1Euro_1999.jpg,,
RE,2014,Spain,ESP-02,1.0,RE2014ESP-A-RE2-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_1euro_2014.jpg,,
RE,2015,Spain,ESP-03,1.0,RE2015ESP-A-RE3-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_1Euro_2015.jpg,,
RE,1999,Spain,ESP-01,0.5,RE1999ESP-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_50cent_1999.jpg,,
RE,2014,Spain,ESP-02,0.5,RE2014ESP-A-RE2-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_50cent_2014.jpg,,
RE,1999,Spain,ESP-01,0.2,RE1999ESP-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_20cent_2001.jpg,,
RE,2014,Spain,ESP-02,0.2,RE2014ESP-A-RE2-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_20cent.jpg,,
RE,1999,Spain,ESP-01,0.1,RE1999ESP-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_10cent_2003.jpg,,
RE,2014,Spain,ESP-02,0.1,RE2014ESP-A-RE2-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_10cent.jpg,,
RE,1999,Spain,ESP-01,0.05,RE1999ESP-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_5cent_1999.jpg,,
RE,2014,Spain,ESP-02,0.05,RE2014ESP-A-RE2-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_5cent.jpg,,
RE,1999,Spain,ESP-01,0.02,RE1999ESP-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_2cent_2002.jpg,,
RE,2014,Spain,ESP-02,0.02,RE2014ESP-A-RE2-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_2cent.jpg,,
RE,1999,Spain,ESP-01,0.01,RE1999ESP-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_1cent_1999.jpg,,
RE,2014,Spain,ESP-02,0.01,RE2014ESP-A-RE2-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/es/Spain_1cent.jpg,,
RE,2002,Vatican City,VAT-01,2.0,RE2002VAT-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vaticano_2euro_2002.jpg,,
RE,2005,Vatican City,VAT-02,2.0,RE2005VAT-A-RE2-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vaticano_2euro_SedeVacante.jpg,,
RE,2006,Vatican City,VAT-03,2.0,RE2006VAT-A-RE3-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vaticano_2euro_2013.jpg,,
RE,2014,Vatican City,VAT-04,2.0,RE2014VAT-A-RE4-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vaticano_2euro_2016.jpg,,
RE,2017,Vatican City,VAT-05,2.0,RE2017VAT-A-RE5-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_2euro_2017.jpg,,
RE,2002,Vatican City,VAT-01,1.0,RE2002VAT-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_1euro_2002.jpg,,
RE,2005,Vatican City,VAT-02,1.0,RE2005VAT-A-RE2-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_1euro_SedeVacante.jpg,,
RE,2006,Vatican City,VAT-03,1.0,RE2006VAT-A-RE3-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_1euro_2013.jpg,,
RE,2014,Vatican City,VAT-04,1.0,RE2014VAT-A-RE4-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_1euro_2016.jpg,,
RE,2017,Vatican City,VAT-05,1.0,RE2017VAT-A-RE5-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_1euro_2017.jpg,,
RE,2002,Vatican City,VAT-01,0.5,RE2002VAT-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_50cent_2002.jpg,,
RE,2005,Vatican City,VAT-02,0.5,RE2005VAT-A-RE2-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_50cent_SedeVacante.jpg,,
RE,2006,Vatican City,VAT-03,0.5,RE2006VAT-A-RE3-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_50cent_2013.jpg,,
RE,2014,Vatican City,VAT-04,0.5,RE2014VAT-A-RE4-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_50cent_2016.jpg,,
RE,2017,Vatican City,VAT-05,0.5,RE2017VAT-A-RE5-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_50cent_2017.jpg,,
RE,2002,Vatican City,VAT-01,0.2,RE2002VAT-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_20cent_2002.jpg,,
RE,2005,Vatican City,VAT-02,0.2,RE2005VAT-A-RE2-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_20cent_SedeVacante.jpg,,
RE,2006,Vatican City,VAT-03,0.2,RE2006VAT-A-RE3-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_20cent_2013.jpg,,
RE,2014,Vatican City,VAT-04,0.2,RE2014VAT-A-RE4-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_20cent_2016.jpg,,
RE,2017,Vatican City,VAT-05,0.2,RE2017VAT-A-RE5-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/va/Vatican_20cent_2017.jpg,,
